id,placename,municipality,province,population
160001,Kliprand,Matzikama,Western Cape,205
160002,Matzikama NU,Matzikama,Western Cape,23881
160003,Rietpoort,Matzikama,Western Cape,970
160004,Bitterfontein,Matzikama,Western Cape,986
160005,Nuwerus,Matzikama,Western Cape,650
160006,Koekenaap,Matzikama,Western Cape,1551
160007,Lutzville,Matzikama,Western Cape,5232
160008,Ebenheaser,Matzikama,Western Cape,1305
160009,Vanrhynsdorp,Matzikama,Western Cape,6272
160010,Vredendal,Matzikama,Western Cape,18170
160011,Strandfontein,Matzikama,Western Cape,431
160012,Klawer,Matzikama,Western Cape,6234
160013,Doringbaai,Matzikama,Western Cape,1260
161001,Lamberts Bay,Cederberg,Western Cape,6120
161002,Cederberg NU,Cederberg,Western Cape,24713
161003,Graafwater,Cederberg,Western Cape,2261
161004,Clanwilliam,Cederberg,Western Cape,7674
161005,Leipoldtville,Cederberg,Western Cape,298
161006,Elands Bay,Cederberg,Western Cape,1525
161007,Citrusdal,Cederberg,Western Cape,7177
162001,Redelinghuys,Bergrivier,Western Cape,574
162002,Bergrivier NU,Bergrivier,Western Cape,24497
162003,Eendekuil,Bergrivier,Western Cape,1530
162004,Dwarskersbos,Bergrivier,Western Cape,670
162005,Aurora,Bergrivier,Western Cape,578
162006,Velddrif,Bergrivier,Western Cape,11017
162007,Goedverwacht,Bergrivier,Western Cape,1979
162008,Beaverlac,Bergrivier,Western Cape,59
162009,Piketberg,Bergrivier,Western Cape,12075
162010,De Hoek,Bergrivier,Western Cape,330
162011,Wittewater,Bergrivier,Western Cape,848
162012,Porterville,Bergrivier,Western Cape,7057
162013,De Lust,Bergrivier,Western Cape,684
163001,St Helena Bay,Saldanha Bay,Western Cape,11529
163002,Saldanha Bay NU,Saldanha Bay,Western Cape,2962
163003,Paternoster,Saldanha Bay,Western Cape,1971
163004,Vredenburg,Saldanha Bay,Western Cape,38382
163005,Swartriet,Saldanha Bay,Western Cape,82
163006,Jacobs Bay,Saldanha Bay,Western Cape,416
163007,Langebaanweg,Saldanha Bay,Western Cape,952
163008,Saldanha,Saldanha Bay,Western Cape,28142
163009,Marcus Island,Saldanha Bay,Western Cape,0
163010,Hopefield,Saldanha Bay,Western Cape,6460
163011,Malgaseiland,Saldanha Bay,Western Cape,0
163012,Langebaan,Saldanha Bay,Western Cape,8297
163013,Jutteneiland,Saldanha Bay,Western Cape,0
163014,Meeueiland,Saldanha Bay,Western Cape,0
163015,Skaapeliland,Saldanha Bay,Western Cape,0
163016,Klein Eiland,Saldanha Bay,Western Cape,0
163017,Vondelingeiland,Saldanha Bay,Western Cape,0
164001,Koringberg,Swartland,Western Cape,1214
164002,Swartland NU,Swartland,Western Cape,32258
164003,Klipfontyn,Swartland,Western Cape,146
164004,Moorreesburg,Swartland,Western Cape,7760
164005,Rosenhof,Swartland,Western Cape,5117
164006,Riebeek West Mine,Swartland,Western Cape,255
164007,Yzerfontein,Swartland,Western Cape,1140
164008,Riebeek West,Swartland,Western Cape,4350
164009,Nuwedorp,Swartland,Western Cape,9347
164010,Darling,Swartland,Western Cape,1073
164011,Riebeek-Kasteel,Swartland,Western Cape,1144
164012,Esterhof,Swartland,Western Cape,3617
164013,Dassen Island,Swartland,Western Cape,0
164014,Mount Royal Golf & Country Estate,Swartland,Western Cape,66
164015,Wesbank,Swartland,Western Cape,11861
164016,Malmesbury,Swartland,Western Cape,10299
164017,Ilinge Lethu,Swartland,Western Cape,13671
164018,Abbotsdale,Swartland,Western Cape,3762
164019,Grotto Bay,Swartland,Western Cape,220
